id,platform_id,model_name,context_window,notes,collected_at,region
1,11,gpt-5.6-sol,~1M,8/17最新,2026-08-17,
2,11,gpt-5.6-terra,,,2026-08-17,
3,11,gpt-5.6-luna,,,2026-08-17,
4,11,gpt-5.5,1.05M ctx,OpenRouter 口径,2026-08-17,
5,11,gpt-5.2,,OpenRouter 96家最低$0.03/$0.05,2026-08-17,
6,11,gpt-5-nano,,Azure口径,2026-08-17,
7,11,gpt-5-pro,,Azure口径,2026-08-17,
8,12,claude-opus-4.7,200k,,2026-08-17,
9,12,claude-sonnet-4.6,200k,,2026-08-17,
10,12,claude-haiku-4.5,200k,缓存最高省90%/批量省50%,2026-08-17,
11,13,gemini-3.6-flash,,,2026-08-17,
12,13,gemini-3.7-flash,,最新一代,2026-08-17,
13,13,gemini-3.1-pro,,,2026-08-17,
14,13,gemini-3.5-flash-lite,,,2026-08-17,
15,14,grok-4.6,,最新,2026-08-17,
16,14,grok-4.5,,,2026-08-17,
17,14,grok-4.3,2M ctx,免费$175/月额度,2026-08-17,
18,14,grok-4.1-fast,,最低档,2026-08-17,
19,15,mistral-large-3,,,2026-08-17,
20,15,magistral-medium,,,2026-08-17,
21,15,open-mistral-nemo,,最低档,2026-08-17,
22,21,deepseek-v4-flash,1M ctx,,2026-08-17,
23,22,deepseek-v4-flash,1M ctx,,2026-08-17,
24,23,deepseek-v4-flash,1M ctx,,2026-08-17,
25,24,deepseek-v4-flash,1M ctx,,2026-08-17,
26,25,deepseek-v4-flash,1M ctx,,2026-08-17,
27,16,deepseek-v4-flash,1M ctx,,2026-08-17,
28,18,deepseek-v4-flash,1M ctx,,2026-08-17,
29,17,deepseek-v4-flash,1M ctx,,2026-08-17,
30,23,deepseek-v4-pro,,,2026-08-17,
31,4,glm-5.3,,编程性能+50%，比Claude省一半token；独立API Coming Soon,2026-08-17,
32,4,glm-5.2,,,2026-08-17,
33,4,glm-4.7,,,2026-08-17,
34,4,glm-4.7-flash,,API免费(pay-per-token),2026-08-17,
35,4,glm-4.5-flash,,API免费,2026-08-17,
36,5,kimi-k3,1M ctx,2.8万亿参数，原生视觉，2026-07-16发布,2026-08-17,
37,5,kimi-k2.6,,,2026-08-17,
38,6,minimax-m2.7,1M ctx,性能接近Opus 4.6，价格1/15,2026-08-17,
39,6,minimax-m2.7-highspeed,,,2026-08-17,
40,6,minimax-m2.5,,,2026-08-17,
41,6,minimax-m2.5-highspeed,204.8K,UnoRouter口径$3.28/M,2026-08-17,
42,7,qwen3.7-max,,,2026-08-17,
43,7,qwen3.7-plus,,中高端旗舰,2026-08-17,
44,7,qwen3.6-flash,,,2026-08-17,
45,7,deepseek-v4-flash,,与官网一致(8/17前),2026-08-17,
46,8,hunyuan-a13b,,MoE 80B总/13B激活,2026-08-17,
47,8,hunyuan-t1,,推理模型,2026-08-17,
48,9,ernie-5.1,,LMArena中文第一,2026-08-17,
49,9,ernie-5.0-thinking,,,2026-08-17,
50,10,spark-pro/max,,日均10万token月支出约63元,2026-08-17,
51,3,glm-5.2-highspeed,,,2026-08-17,
52,3,kimi-k2.7-code,,,2026-08-17,
53,3,deepseek-v4-flash,,,2026-08-17,
54,26,doubao-pro-32k,,,2026-08-17,
55,26,doubao-1.6,,,2026-08-17,
56,26,doubao-seed,,,2026-08-17,
57,27,step-3.5-flash,,1.34万亿参数,2026-08-17,
58,29,claude-sonnet-4.6,200k,Bedrock托管,2026-08-17,
59,29,claude-haiku-4.5,200k,,2026-08-17,
60,29,qwen3-max,262k,Qwen3 Max $0.44/$1.74,2026-08-17,
61,30,gpt-5.6-luna,,Azure口径,2026-08-17,
62,30,gpt-5.5,1.05M,,2026-08-17,
63,30,gpt-5-pro,,最高档,2026-08-17,
64,31,deepseek-v4-flash,1M ctx,平台首个1M ctx模型,2026-08-17,
65,31,llama-3.3-70b,,,2026-08-17,
66,32,deepseek-r1,,老模型参考,2026-08-17,
67,33,deepseek-v4-flash(自托管),1M,GPU小时计费，非按量,2026-08-17,
68,34,sonar-small-online,,联网搜索+引用,2026-08-17,
69,34,sonar-pro,,,2026-08-17,
70,35,deepseek-v4-flash,1M,免费API档,2026-08-17,
71,35,llama-4-maverick,,,2026-08-17,
72,36,command-r+,,RAG/企业,2026-08-17,
73,36,command-r,,,2026-08-17,
74,36,command-r7b,,,2026-08-17,
75,36,embed-v3,,向量,2026-08-17,
76,36,rerank-v3,,重排,2026-08-17,
77,37,hermes-4-70b,131k,OpenRouter托管,2026-08-17,
78,38,llama-4-maverick,,Groq/Together/Fireworks托管,2026-08-17,
79,38,llama-4-scout,,,2026-08-17,
80,38,llama-3.3-70b,,,2026-08-17,
81,39,inference-providers,,聚合各家按量,2026-08-17,
82,2,qwen/qwen3.8-27b,262144,"Qwen: Qwen3.8 27B; created=1786722910; arch=text,image,video",2026-08-17,
83,2,dots-studio/dots-3-note-preview:free,512000,"Dots Studio: Dots3-Note Preview (free); created=1786680361; arch=text,image",2026-08-17,
84,2,google/gemini-3.7-flash,1048576,"Google: Gemini 3.7 Flash; created=1786640581; arch=text,image,video,file,audio",2026-08-17,
85,2,google/gemini-3.7-flash:batch,1048576,"Google: Gemini 3.7 Flash (batch); created=1786640581; arch=text,image,video,file,audio",2026-08-17,
86,2,bytedance-seed/seed-2-1-turbo,262144,"ByteDance Seed: Seed 2.1 Turbo; created=1786552176; arch=text,image,video",2026-08-17,
87,2,qwen/qwen3.8-2.4t-a95b,1048576,Qwen: Qwen3.8 2.4T A95B; created=1786551702; arch=text,2026-08-17,
88,2,bytedance-seed/seed-2.0-code,262144,"ByteDance Seed: Seed-2.0-Code; created=1786550701; arch=text,image,video",2026-08-17,
89,2,deepseek/deepseek-v4-pro-0813,1048576,DeepSeek: DeepSeek V4 Pro 0813; created=1786549364; arch=text,2026-08-17,
90,2,x-ai/grok-4.6,500000,"SpaceXAI: Grok 4.6; created=1786548957; arch=text,image,file",2026-08-17,
91,2,liquid/lfm-2.5-2.6b:free,128000,LiquidAI: LFM2.5-2.6B (free); created=1786470519; arch=text,2026-08-17,
92,2,nvidia/nemotron-3.5-lightning,1000000,NVIDIA: Nemotron 3.5 Lightning; created=1786452751; arch=text,2026-08-17,
93,2,nvidia/nemotron-3.5-lightning:free,1000000,NVIDIA: Nemotron 3.5 Lightning (free); created=1786452751; arch=text,2026-08-17,
94,2,sakana/sakana-namazu,262144,"Sakana: Sakana Namazu; created=1786410129; arch=text,image,file",2026-08-17,
95,2,upstage/solar-pro4,524288,Upstage: Solar Pro 4; created=1786371636; arch=text,2026-08-17,
96,2,meta/muse-glimmer-30b,131072,"Meta: Muse Glimmer 30B; created=1786302394; arch=text,image",2026-08-17,
97,2,meta/muse-spark-1.2,1048576,"Meta: Muse Spark 1.2; created=1785959287; arch=text,image,video,file,audio",2026-08-17,
98,2,qwen/qwen3.8-max,1000000,"Qwen: Qwen3.8 Max; created=1785731612; arch=text,image,video",2026-08-17,
99,2,~deepseek/deepseek-v4-flash-latest,1310720,DeepSeek V4 Flash Latest; created=1785606009; arch=text,2026-08-17,
100,2,deepseek/deepseek-v4-flash-0731,1310720,DeepSeek: DeepSeek V4 Flash 0731; created=1785478908; arch=text,2026-08-17,
101,2,thinkingmachines/inkling-small,524288,"Thinking Machines: Inkling Small; created=1785443117; arch=text,image,audio",2026-08-17,
102,2,qwen/qwen3.7-flash,1000000,"Qwen: Qwen3.7 Flash; created=1785190561; arch=text,image,video",2026-08-17,
103,2,anthropic/claude-opus-5-fast,1000000,"Claude Opus 5 (Fast); created=1784912546; arch=text,image,file",2026-08-17,
104,2,anthropic/claude-opus-5,1000000,"Claude Opus 5; created=1784912544; arch=text,image,file",2026-08-17,
105,2,anthropic/claude-opus-5:batch,1000000,"Claude Opus 5 (batch); created=1784912544; arch=text,image,file",2026-08-17,
106,2,inclusionai/ling-3.0-flash,262144,Ling-3.0-flash; created=1784818580; arch=text,2026-08-17,
107,2,poolside/laguna-s-2.1,1048576,Poolside: Laguna S 2.1; created=1784652683; arch=text,2026-08-17,
108,2,poolside/laguna-s-2.1:free,262144,Poolside: Laguna S 2.1 (free); created=1784652683; arch=text,2026-08-17,
109,2,google/gemini-3.6-flash,1048576,"Google: Gemini 3.6 Flash; created=1784646733; arch=text,image,video,file,audio",2026-08-17,
110,2,google/gemini-3.6-flash:batch,1048576,"Google: Gemini 3.6 Flash (batch); created=1784646733; arch=text,image,video,file,audio",2026-08-17,
111,2,google/gemini-3.5-flash-lite,1048576,"Google: Gemini 3.5 Flash Lite; created=1784646726; arch=text,image,video,file,audio",2026-08-17,
112,2,google/gemini-3.5-flash-lite:batch,1048576,"Google: Gemini 3.5 Flash Lite (batch); created=1784646726; arch=text,image,video,file,audio",2026-08-17,
113,2,meituan/longcat-2.0,1048756,Meituan: LongCat 2.0; created=1784554658; arch=text,2026-08-17,
114,2,thinkingmachines/inkling,1048576,"Thinking Machines: Inkling; created=1784325956; arch=text,image,audio",2026-08-17,
115,2,thinkingmachines/inkling:batch,524288,"Thinking Machines: Inkling (batch); created=1784325956; arch=text,image,audio",2026-08-17,
116,2,openrouter/auto-beta,2000000,"Auto Router (Beta); created=1784311165; arch=text,image,audio,file,video",2026-08-17,
117,2,moonshotai/kimi-k3,1048576,"MoonshotAI: Kimi K3; created=1784215858; arch=text,image,video",2026-08-17,
118,2,meta/muse-spark-1.1,1048576,"Meta: Muse Spark 1.1; created=1784215741; arch=text,image,video,file,audio",2026-08-17,
119,2,kwaipilot/kat-coder-air-v2.5,256000,Kwaipilot: KAT-Coder-Air V2.5; created=1783714590; arch=text,2026-08-17,
120,2,kwaipilot/kat-coder-pro-v2.5,256000,Kwaipilot: KAT-Coder-Pro V2.5; created=1783714589; arch=text,2026-08-17,
121,2,openai/gpt-5.6-luna-pro,1050000,"OpenAI: GPT-5.6 Luna Pro; created=1783590867; arch=file,image,text",2026-08-17,
122,2,openai/gpt-5.6-luna-pro:batch,1050000,"OpenAI: GPT-5.6 Luna Pro (batch); created=1783590867; arch=file,image,text",2026-08-17,
123,2,openai/gpt-5.6-luna,1050000,"OpenAI: GPT-5.6 Luna; created=1783590864; arch=file,image,text",2026-08-17,
124,2,openai/gpt-5.6-luna:batch,1050000,"OpenAI: GPT-5.6 Luna (batch); created=1783590864; arch=file,image,text",2026-08-17,
125,2,openai/gpt-5.6-terra-pro,1050000,"OpenAI: GPT-5.6 Terra Pro; created=1783590861; arch=file,image,text",2026-08-17,
126,2,openai/gpt-5.6-terra-pro:batch,1050000,"OpenAI: GPT-5.6 Terra Pro (batch); created=1783590861; arch=file,image,text",2026-08-17,
