id,platform_id,plan_name,price_cny,period,quota_desc,models_included,source_url,notes,collected_at,effective_at,region,currency
1,19,Agent Plan Small,40.0,monthly,,Doubao-Seed/GLM-5.1/Kimi-K2.6等,https://www.volcengine.com/product/doubao,限时9.9元起活动 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
2,19,Agent Plan Medium,200.0,monthly,,,https://www.volcengine.com/product/doubao,Large/Max未公开精确价 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
3,19,Coding Plan 入门,40.0,monthly,,豆包/DeepSeek/Kimi/GLM等6款,https://www.volcengine.com/product/doubao,活动折上9折低至8.9元 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
4,5,Kimi Andante,199.0,monthly,~10M tokens/5h窗口,Kimi K3,https://www.kimi.com/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核 | 2026-08-22◐数字待官网核验(kimi.com/pricing为JS渲染) | 2026-08-22⚠️官方套餐页已无Andante档(现为Moderato/Allegretto/Allegro/Vivace),2026-08-17,2026-08-17,,CNY
5,5,Kimi Moderato,,monthly,~20M tokens/5h窗口,Kimi K3(1M上下文),https://www.kimi.com/pricing,"价格未公开 | 2026-08-22套餐复核◐出处已规范·数字未逐条核 | 2026-08-22◐官网JS渲染未取到数字,待人工",2026-08-17,2026-08-17,,CNY
6,5,Kimi Allegretto,199.0,monthly,~40M tokens/5h窗口,Kimi K3(1M上下文),https://www.kimi.com/pricing, | 2026-08-22套餐复核◐出处已规范·数字未逐条核 | 2026-08-22◐数字待官网核验(kimi.com/pricing为JS渲染),2026-08-17,2026-08-17,,CNY
7,5,Kimi Allegro,,monthly,~100M tokens/5h窗口,Kimi K3(1M上下文),https://www.kimi.com/pricing,"价格未公开 | 2026-08-22套餐复核◐出处已规范·数字未逐条核 | 2026-08-22◐官网JS渲染未取到数字,待人工",2026-08-17,2026-08-17,,CNY
16,6,Coding Plan Starter,29.0,monthly,,M2.1/M2.5/M2.7,https://platform.minimaxi.com/document/price, | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
17,6,Coding Plan Plus/Max,,monthly,,M2.7/highspeed,https://platform.minimaxi.com/document/price,6档+极速版；包年8.3折 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
18,10,Lite,,monthly,,,https://xinghuo.xfyun.cn/deskmember,轻度用户省钱 | 2026-08-22套餐复核◐出处已规范·数字未逐条核,2026-08-17,2026-08-17,,CNY
